Current Procedural Terminology (CPT®) codes, descriptions, and other data are
copyright 1966, 1970, 1973, 1977, 1981, 1983-2024 by the American
Medical Association. All rights reserved.

CPT® is a registered trademark of the American Medical Association.

U.S. GOVERNMENT RIGHTS. CPT is commercial technical data
developed exclusively at the private expense by the American
Medical Association, 330 N. Wabash Ave., Suite 39300,
Chicago, IL 60611-5885. Use does not grant the Federal Government
a direct license to use CPT based on FAR 52.227-14 (Data Rights – General)
and DFARS 252.227-7015 (Technical Data Commercial Items).

This file may not be sold, duplicated, or given
away in whole or in part without the express written
consent of the American Medical Association.

To license additional CPT® products or to request a license
for the distribution of products with CPT® content, visit our website at
https://www.ama-assn.org/practice-management/cpt/ama-cpt-licensing-overview,
or purchase other CPT® products, contact customer service at 800-621-8335.

For the most current CPT® coding information, to learn about the early release
of CPT® codes, and to review the CPT® Errata to bring yourself up to date on corrections,
please visit https://www.ama-assn.org/practice-management/errata-technical-corrections.

Concept Id	CPT Code	Long	Medium	Short	Consumer	Spanish Consumer	Current Descriptor Effective Date	Test Name	Lab Name	Manufacturer Name
1008058	49905	Omental flap, intra-abdominal (List separately in addition to code for primary procedure)	OMENTAL FLAP INTRA-ABDOMINAL	OMENTAL FLAP INTRA-ABDOM	Repair of abdomen using abdominal lining graft	Reparación del abdomen mediante injerto de revestimiento abdominal				
1008059	49906	Free omental flap with microvascular anastomosis	FREE OMENTAL FLAP W/MICROVASCULAR ANAST	FREE OMENTAL FLAP MICROVASC	Harvesting of graft from lining of abdominal cavity and blood vessels	Recolección de injerto del revestimiento de la cavidad abdominal y de los vasos sanguíneos				
1008060	49999	Unlisted procedure, abdomen, peritoneum and omentum	UNLISTED PROCEDURE ABDOMEN PERITONEUM & OMENTUM	UNLISTED PX ABD PERTM&OMN	Other procedure on abdomen	Otros procedimientos en el abdomen				
1008064	50010	Renal exploration, not necessitating other specific procedures	RENAL EXPLORATION NOT NECESSITATING OTH SPEC PX	RENAL EXPLORATION	Exploration of kidney	Exploración del riñón				
1008066	50020	Drainage of perirenal or renal abscess, open	DRAINAGE PERIRENAL/RENAL ABSCESS OPEN	DRG PERIRNL/RENAL ABSC OPEN	Drainage of abscess of kidney	Drenaje de absceso de riñón				
1008068	50040	Nephrostomy, nephrotomy with drainage	NEPHROSTOMY NEPHROTOMY W/DRAINAGE	NFROS NFROT W/DRG	Insertion of tube for drainage of kidney	Inserción de tubo para drenaje del riñón				
1008069	50045	Nephrotomy, with exploration	NEPHROTOMY W/EXPLORATION	NEPHROTOMY W/EXPLORATION	Incision of kidney with exploration	Incisión del riñón con exploración				
1008071	50060	Nephrolithotomy; removal of calculus	NEPHROLITHOTOMY REMOVAL CALCULUS	NL REMOVAL CALCULUS	Removal of kidney stone	Remoción de un cálculo renal				
1008072	50065	Nephrolithotomy; secondary surgical operation for calculus	NEPHROLITHOTOMY SECONDARY SURG OPERJ CALCULUS	NL SEC SURG OPERJ CALCULUS	Removal of kidney stone, secondary procedure	Remoción de cálculo renal, procedimiento secundario				
1008073	50070	Nephrolithotomy; complicated by congenital kidney abnormality	NEPHROLITHOTOMY COMP CGEN KDN ABNORMALITY	NL COMP CGEN KDN ABNORMALITY	Removal of kidney stone complicated by congenital abnormality	Remoción de cálculos renales complicados por una anomalía congénita				
1008074	50075	Nephrolithotomy; removal of large staghorn calculus filling renal pelvis and calyces (including anatrophic pyelolithotomy)	NEPHROLITHOTOMY RMVL LARGE STAGHORN CALCULUS	NL RMVL LG STAGHORN CALCULUS	Removal of kidney stones	Remoción de cálculos renales				
1008076	50080	Percutaneous nephrolithotomy or pyelolithotomy, lithotripsy, stone extraction, antegrade ureteroscopy, antegrade stent placement and nephrostomy tube placement, when performed, including imaging guidance; simple (eg, stone[s] up to 2 cm in single location of kidney or renal pelvis, nonbranching stones)	PERQ NL/PL LITHOTRP SIMPLE UP TO 2 CM 1 LOCATION	PERQ NL/PL LITHOTRP SMPL<2CM	Simple surgical treatment of kidney stone with imaging guidance	Tratamiento quirúrgico simple de un cálculo renal con orientación por imagenología	20230101			
1008077	50081	Percutaneous nephrolithotomy or pyelolithotomy, lithotripsy, stone extraction, antegrade ureteroscopy, antegrade stent placement and nephrostomy tube placement, when performed, including imaging guidance; complex (eg, stone[s] > 2 cm, branching stones, stones in multiple locations, ureter stones, complicated anatomy)	PERQ NL/PL LITHOTRP COMPLEX >2 CM MLT LOCATIONS	PERQ NL/PL LITHOTRP CPLX>2CM	Complex surgical treatment of kidney stone with imaging guidance	Tratamiento quirúrgico complejo de un cálculo renal con orientación por imagenología	20230101			
1008078	50100	Transection or repositioning of aberrant renal vessels (separate procedure)	TRNSXJ/REPOSITIONING ABERRANT RENAL VESSELS SPX	TRNSXJ/REPOS ABRRNT RNL VSLS	Incision or repositioning of abnormal kidney blood vessel	Incisión o recolocación de vaso sanguíneo renal anormal				
1008080	50120	Pyelotomy; with exploration	PYELOTOMY W/EXPLORATION	PYELOTOMY W/EXPLORATION	Incision of renal pelvis of kidney with exploration	Incisión de pelvis renal del riñón con exploración				
1008081	50125	Pyelotomy; with drainage, pyelostomy	PYELOTOMY W/DRAINAGE PYELOSTOMY	PYELOTOMY W/DRG PYELOSTOMY	Incision of renal pelvis of kidney with drainage	Incisión de pelvis renal del riñón con drenaje				
1008082	50130	Pyelotomy; with removal of calculus (pyelolithotomy, pelviolithotomy, including coagulum pyelolithotomy)	PYELOTOMY WITH REMOVAL CALCULUS	PYELOTOMY W/REMOVAL CALCULUS	Incision of renal pelvis of kidney with removal of kidney stone	Incisión de pelvis renal del riñón con remoción de cálculo renal				
1008086	50200	Renal biopsy; percutaneous, by trocar or needle	RENAL BIOPSY PRQ TROCAR/NEEDLE	RENAL BIOPSY PERQ	Needle biopsy of kidney	Biopsia de riñón con aguja				
1008087	50205	Renal biopsy; by surgical exposure of kidney	RENAL BIOPSY SURG EXPOSURE KIDNEY	RENAL BX SURG EXPOSURE KDN	Biopsy of kidney	Biopsia de riñón				
1008088	50220	Nephrectomy, including partial ureterectomy, any open approach including rib resection;	NEPHRECTOMY W/PRTL URETERECTOMY W/OPEN RIB RESCJ	REMOVE KIDNEY OPEN	Removal of kidney and partial removal of ureter	Remoción de riñón y remoción parcial de uréter				
1008089	50225	Nephrectomy, including partial ureterectomy, any open approach including rib resection; complicated because of previous surgery on same kidney	NEPHRECTOMY W/PRTL URETERECT OPN RIB RESCJ COMPL	REMOVAL KIDNEY OPEN COMPLEX	Removal of kidney and partial removal of ureter complicated by previous surgery on same kidney	Remoción de riñón y remoción parcial de uréter complicada por una cirugía previa en el mismo riñón				
1008090	50230	Nephrectomy, including partial ureterectomy, any open approach including rib resection; radical, with regional lymphadenectomy and/or vena caval thrombectomy	NEPHRECTOMY W/PRTL URETERECT OPEN RIB RESCJ RAD	REMOVAL KIDNEY OPEN RADICAL	Removal of kidney, lymph nodes, and/or blood clot from major vein with partial removal of ureter	Remoción de riñón, ganglios linfáticos y/o coágulo de sangre de la vena principal con remoción parcial de uréter				
1008092	50234	Nephrectomy with total ureterectomy and bladder cuff; through same incision	NEPHRECTOMY W/TOT URETERECT&BLDR CUFF SAME INC	REMOVAL OF KIDNEY & URETER	Removal of kidney and ureter with partial removal of bladder through same incision	Remoción de riñón y uréter con remoción parcial de vejiga por la misma incisión				
1008093	50236	Nephrectomy with total ureterectomy and bladder cuff; through separate incision	NEPHRECTOMY TOT URETEREC&BLDR CUFF SEPAR INCISN	REMOVAL OF KIDNEY & URETER	Removal of kidney and ureter with partial removal of bladder through separate incision	Remoción de riñón y uréter con remoción parcial de vejiga a través de una incisión separada				
1008094	50240	Nephrectomy, partial	NEPHRECTOMY PARTIAL	NEPHRECTOMY PARTIAL	Partial removal of kidney	Remoción parcial del riñón				
1008095	50250	Ablation, open, 1 or more renal mass lesion(s), cryosurgical, including intraoperative ultrasound guidance and monitoring, if performed	OPEN ABLATION 1/>RENAL MASS LESION CRYOSURGICAL	OPN ABLTJ 1/> RNL MAS CRYSRG	Destruction of growth of kidney	Destrucción de un crecimiento tumoral en un riñón				
1008096	50280	Excision or unroofing of cyst(s) of kidney	EXCISION/UNROOFING CYST KIDNEY	EXC/UNROOFING CYST KIDNEY	Removal or unroofing cysts of kidney	Remoción o desobstrucción de quistes de riñón				
1008097	50290	Excision of perinephric cyst	EXCISION PERINEPHRIC CYST	EXCISION PERINEPHRIC CYST	Removal of cysts of kidney	Remoción de quistes de riñón				
1008100	50300	Donor nephrectomy (including cold preservation); from cadaver donor, unilateral or bilateral	DONOR NEPHRECTOMY CADAVER DONOR UNI/BILATERAL	REMOVE CADAVER DONOR KIDNEY	Removal of donor kidney	Remoción de riñón del donante				
1008101	50320	Donor nephrectomy (including cold preservation); open, from living donor	DONOR NEPHRECTOMY OPEN LIVING DONOR	REMOVE KIDNEY LIVING DONOR	Removal of donor kidney from living donor	Remoción de riñón de un donante vivo				
1008102	50323	Backbench standard preparation of cadaver donor renal allograft prior to transplantation, including dissection and removal of perinephric fat, diaphragmatic and retroperitoneal attachments, excision of adrenal gland, and preparation of ureter(s), renal vein(s), and renal artery(s), ligating branches, as necessary	BKBENCH PREPJ CADAVER DONOR RENAL ALLOGRAFT	PREP CADAVER RENAL ALLOGRAFT	Preparation of donor kidney for transplantation	Preparación de riñón del donante para trasplante				
1008103	50325	Backbench standard preparation of living donor renal allograft (open or laparoscopic) prior to transplantation, including dissection and removal of perinephric fat and preparation of ureter(s), renal vein(s), and renal artery(s), ligating branches, as necessary	BKBENCH PREPJ LIVING RENAL DONOR ALLOGRAFT	PREP DONOR RENAL GRAFT	Preparation of living donor kidney for transplantation	Preparación de riñón de donante vivo para trasplante				
1008105	50327	Backbench reconstruction of cadaver or living donor renal allograft prior to transplantation; venous anastomosis, each	BKBENCH RCNSTJ RENAL ALGRFT VENOUS ANAST EA	PREP RENAL GRAFT/VENOUS	Preparation of donor kidney and veins for transplantation	Preparación de riñón y venas del donante para trasplante				
1008106	50328	Backbench reconstruction of cadaver or living donor renal allograft prior to transplantation; arterial anastomosis, each	BKBENCH RCNSTJ RENAL ALLOGRAFT ARTERIAL ANAST EA	PREP RENAL GRAFT/ARTERIAL	Preparation of donor kidney and arteries for transplantation	Preparación de riñón y arterias del donante para trasplante				
1008107	50329	Backbench reconstruction of cadaver or living donor renal allograft prior to transplantation; ureteral anastomosis, each	BKBENCH RCNSTJ ALGRFT URETERAL ANAST EA	PREP RENAL GRAFT/URETERAL	Preparation of donor kidney and ureter for transplantation	Preparación de riñón y uréter del donante para trasplante				
1008108	50340	Recipient nephrectomy (separate procedure)	RECIPIENT NEPHRECTOMY SEPARATE PROCEDURE	RECIPIENT NEPHRECTOMY	Removal of kidney from patient receiving donor kidney	Remoción de riñón del paciente que recibe riñón del donante				
1008110	50360	Renal allotransplantation, implantation of graft; without recipient nephrectomy	RENAL ALTRNSPLJ IMPLTJ GRF W/O RCP NEPHRECTOMY	RNL ALTRNSPLJ W/O RCP NFRCT	Transplantation of donor kidney	Trasplante de riñón del donante				
1008111	50365	Renal allotransplantation, implantation of graft; with recipient nephrectomy	RENAL ALTRNSPLJ IMPLTJ GRF W/RCP NEPHRECTOMY	RNL ALTRNSPLJ W/RCP NFRCT	Removal of kidney and transplantation of donor kidney	Remoción de riñón y trasplante de riñón del donante				
1008112	50370	Removal of transplanted renal allograft	REMOVAL OF TRANSPLANTED RENAL ALLOGRAFT	RMVL TRANSPLANTED RNL ALGRFT	Removal of previously transplanted donor kidney	Remoción de un riñón de un donante previamente trasplantado				
1008113	50380	Renal autotransplantation, reimplantation of kidney	RENAL AUTOTRANSPLANTATION REIMPLANTATION KIDNEY	RNL AUTOTRNSPLJ RIMPLTJ KDN	Removal with relocation of kidney	Remoción con reubicación del riñón				
1008117	50382	Removal (via snare/capture) and replacement of internally dwelling ureteral stent via percutaneous approach, including radiological supervision and interpretation	RMVL & RPLCMT INTLY DWELLING URETERAL STENT PRQ	CHANGE URETER STENT PERCUT	Removal and replacement of stent in ureter with review by radiologist	Remoción y reemplazo de endoprótesis en el uréter con revisión por un radiólogo				
1008118	50384	Removal (via snare/capture) of internally dwelling ureteral stent via percutaneous approach, including radiological supervision and interpretation	REMOVAL INDWELLING URETERAL STENT PRQ	REMOVE URETER STENT PERCUT	Removal of stent in ureter through skin with review by radiologist	Remoción de una endoprótesis en uréter a través de la piel con revisión por un radiólogo				
1018403	50385	Removal (via snare/capture) and replacement of internally dwelling ureteral stent via transurethral approach, without use of cystoscopy, including radiological supervision and interpretation	REMOVE & REPLACE INDWELL URETERAL STENT TRURTHRL	CHANGE STENT VIA TRANSURETH	Removal and replacement of stent in ureter through urethra with review by radiologist	Remoción y reemplazo de endoprótesis en el uréter a través de la uretra con revisión por un radiólogo				
1018404	50386	Removal (via snare/capture) of internally dwelling ureteral stent via transurethral approach, without use of cystoscopy, including radiological supervision and interpretation	REMOVE INT DWELL URETERAL STENT TRANSURETHRAL	REMOVE STENT VIA TRANSURETH	Removal of stent in ureter through ureter with review by radiologist	Remoción de una endoprótesis en uréter a través de uréter con revisión por un radiólogo				
1008120	50387	Removal and replacement of externally accessible nephroureteral catheter (eg, external/internal stent) requiring fluoroscopic guidance, including radiological supervision and interpretation	RMVL & RPLCMT XTRNL ACCESSIBLE NEPHROURTRL CATH	CHANGE NEPHROURETERAL CATH	Removal and replacement of stent in kidney and ureter using fluoroscopic guidance with review by radiologist	Remoción y reemplazo de una endoprótesis en riñón y uréter utilizando orientación fluoroscópica con revisión por un radiólogo				
1008121	50389	Removal of nephrostomy tube, requiring fluoroscopic guidance (eg, with concurrent indwelling ureteral stent)	RMVL NFROS TUBE REQ FLUORO GUIDANCE	REMOVE RENAL TUBE W/FLUORO	Removal of kidney drainage tube using fluoroscopic guidance	Remoción de tubo de drenaje renal utilizando orientación fluoroscópica				
1008123	50390	Aspiration and/or injection of renal cyst or pelvis by needle, percutaneous	ASPIR &/NJX RENAL CYST/PELVIS NEEDLE PRQ	DRAINAGE OF KIDNEY LESION	Aspiration and/or injection of cyst of kidney	Aspiración y/o inyección de un quiste en el riñón				
1008124	50391	Instillation(s) of therapeutic agent into renal pelvis and/or ureter through established nephrostomy, pyelostomy or ureterostomy tube (eg, anticarcinogenic or antifungal agent)	INSTLJ THER AGENT RENAL PELVIS&/URETER VIA TUB	INSTLL RX AGNT INTO RNAL TUB	Instillation of drug into kidney and/or ureter	Instilación de medicamentos en el riñón y/o uréter				
1034999	50436	Dilation of existing tract, percutaneous, for an endourologic procedure including imaging guidance (eg, ultrasound and/or fluoroscopy) and all associated radiological supervision and interpretation, with postprocedure tube placement, when performed;	PERQ DILATION XST TRC ENDOUROLOGIC PX W/IMG	DILAT XST TRC NDURLGC PX	Dilation of existing opening into urinary tract using imaging guidance	Dilatación de un orificio ya existente en el tracto urinario utilizando orientación por imagenología				
1035000	50437	Dilation of existing tract, percutaneous, for an endourologic procedure including imaging guidance (eg, ultrasound and/or fluoroscopy) and all associated radiological supervision and interpretation, with postprocedure tube placement, when performed; including new access into the renal collecting system	PERQ DILATION XST TRC NEW ACCESS RENAL COLTJ SYS	DILAT XST TRC NEW ACCESS RCS	Dilation of existing opening into urinary tract and creation of new access into urine collecting system of kidney using imaging guidance	Dilatación de la apertura ya existente en el tracto urinario y creación de un nuevo acceso al sistema colector de orina del riñón utilizando orientación por imagenología				
1008129	50396	Manometric studies through nephrostomy or pyelostomy tube, or indwelling ureteral catheter	MANOMETRIC STDS THRU TUBE/NDWELLG URTRL CATH	MEASURE KIDNEY PRESSURE	Measurement of urine flow in kidneys and ureters	Medición del flujo de orina en riñones y uréteres				
1027707	50430	Injection procedure for antegrade nephrostogram and/or ureterogram, complete diagnostic procedure including imaging guidance (eg, ultrasound and fluoroscopy) and all associated radiological supervision and interpretation; new access	NJX PX ANTEGRDE NFROSGRM &/URTRGRM NEW ACCESS	NJX PX NFROSGRM &/URTRGRM	Injection procedure for imaging of kidney and ureter through new skin access using imaging guidance with review by radiologist	Procedimiento de inyección para adquirir imágenes del riñón y el uréter a través de un nuevo acceso cutáneo utilizando orientación por imagenología con revisión por un radiólogo				
1027708	50431	Injection procedure for antegrade nephrostogram and/or ureterogram, complete diagnostic procedure including imaging guidance (eg, ultrasound and fluoroscopy) and all associated radiological supervision and interpretation; existing access	NJX PX ANTEGRDE NFROSGRM &/URTRGRM EXSTNG ACESS	NJX PX NFROSGRM &/URTRGRM	Injection procedure for imaging of kidney and ureter through already existing skin access using imaging guidance with review by radiologist	Procedimiento de inyección para adquirir imágenes del riñón y el uréter a través de un acceso cutáneo ya existente utilizando orientación por imagenología con revisión por un radiólogo				
1027709	50432	Placement of nephrostomy catheter, percutaneous, including diagnostic nephrostogram and/or ureterogram when performed, imaging guidance (eg, ultrasound and/or fluoroscopy) and all associated radiological supervision and interpretation	PLMT NEPHROSTOMY CATH PRQ NEW ACCESS RS&I	PLMT NEPHROSTOMY CATHETER	Placement of tube of kidney using imaging guidance with review by radiologist	Colocación de sonda de riñón utilizando orientación por imagenología con revisión por un radiólogo				
1027710	50433	Placement of nephroureteral catheter, percutaneous, including diagnostic nephrostogram and/or ureterogram when performed, imaging guidance (eg, ultrasound and/or fluoroscopy) and all associated radiological supervision and interpretation, new access	PLMT NEPHROURETERAL CATH PRQ NEW ACCESS RS&I	PLMT NEPHROURETERAL CATHETER	Placement of tube of kidney and urinary tube through new skin access using imaging guidance with review by radiologist	Colocación de sonda de riñón y sonda urinaria a través de un nuevo acceso cutáneo utilizando orientación por imagenología con revisión por un radiólogo				
1027711	50434	Convert nephrostomy catheter to nephroureteral catheter, percutaneous, including diagnostic nephrostogram and/or ureterogram when performed, imaging guidance (eg, ultrasound and/or fluoroscopy) and all associated radiological supervision and interpretation, via pre-existing nephrostomy tract	CONVERT NEPHROSTOMY CATH TO NEPHROURTRL CATH PRQ	CONVERT NEPHROSTOMY CATHETER	Conversion of kidney tube to nephroureteral tube using imaging guidance and study of kidney and ureter with review by radiologist	Conversión de sonda renal a sonda nefro ureteral utilizando orientación por imagenología y estudio de riñón y uréter con revisión por un radiólogo				
1027712	50435	Exchange nephrostomy catheter, percutaneous, including diagnostic nephrostogram and/or ureterogram when performed, imaging guidance (eg, ultrasound and/or fluoroscopy) and all associated radiological supervision and interpretation	EXCHANGE NEPHROSTOMY CATHETER PRQ W/IMG GID RS&I	EXCHANGE NEPHROSTOMY CATH	Replacement of kidney drainage tube using imaging guidance with review by radiologist	Reemplazo de tubo de drenaje renal utilizando orientación por imagenología con revisión por un radiólogo				
1008133	50400	Pyeloplasty (Foley Y-pyeloplasty), plastic operation on renal pelvis, with or without plastic operation on ureter, nephropexy, nephrostomy, pyelostomy, or ureteral splinting; simple	PYELOPLASTY SIMPLE	REVISION OF KIDNEY/URETER	Simple reconstruction of neck of kidney	Reconstrucción simple del cuello del riñón				
1008134	50405	Pyeloplasty (Foley Y-pyeloplasty), plastic operation on renal pelvis, with or without plastic operation on ureter, nephropexy, nephrostomy, pyelostomy, or ureteral splinting; complicated (congenital kidney abnormality, secondary pyeloplasty, solitary kidney, calycoplasty)	PYELOPLASTY COMPLICATED	REVISION OF KIDNEY/URETER	Complicated reconstruction of pelvis of kidney	Reconstrucción complicada de la pelvis del riñón				
1008135	50500	Nephrorrhaphy, suture of kidney wound or injury	NEPHRORRHAPHY SUTURE KIDNEY WOUND/INJURY	REPAIR OF KIDNEY WOUND	Suture of wound or injury of kidney	Sutura de herida o lesión de riñón				
1008136	50520	Closure of nephrocutaneous or pyelocutaneous fistula	CLOSURE NEPHROCUTANEOUS/PYELOCUTANEOUS FISTULA	CLOSE KIDNEY-SKIN FISTULA	Closure of abnormal drainage tract from kidney to skin	Cierre del tracto de drenaje anormal del riñón a la piel				
1008138	50525	Closure of nephrovisceral fistula (eg, renocolic), including visceral repair; abdominal approach	CLSR NEPHROVISCERAL FISTULA W/VISC RPR ABDL APPR	CLOSE NEPHROVISCERAL FISTULA	Closure of abnormal drainage tract from kidney to other abdominal organ through abdomen	Cierre del tracto de drenaje anormal del riñón a otro órgano abdominal a través del abdomen				
1008139	50526	Closure of nephrovisceral fistula (eg, renocolic), including visceral repair; thoracic approach	CLSR NEPHROVISCERAL FISTULA W/VISC RPR THRC APPR	CLOSE NEPHROVISCERAL FISTULA	Closure of abnormal drainage tract from kidney to other abdominal organ through chest	Cierre del tracto de drenaje anormal desde el riñón a otro órgano abdominal a través del tórax				
1008140	50540	Symphysiotomy for horseshoe kidney with or without pyeloplasty and/or other plastic procedure, unilateral or bilateral (1 operation)	SYMPHYSIOTOMY HORSESHOE KDN W/WO PLOP UNI/BI	REVISION OF HORSESHOE KIDNEY	Repair of abnormally shaped kidney	Reparación de un riñón con forma anormal				
1008143	50541	Laparoscopy, surgical; ablation of renal cysts	LAPAROSCOPY SURG ABLATION RENAL CYSTS	LAPARO ABLATE RENAL CYST	Destruction of cyst of kidney using an endoscope	Destrucción de un quiste de riñón usando un endoscopio				
1008144	50542	Laparoscopy, surgical; ablation of renal mass lesion(s), including intraoperative ultrasound guidance and monitoring, when performed	LAPS ABLTJ RENAL MASS LESION W/INTRAOP US	LAPARO ABLATE RENAL MASS	Destruction of growth of kidney using an endoscope	Destrucción de un crecimiento tumoral en un riñón usando un endoscopio				
1008145	50543	Laparoscopy, surgical; partial nephrectomy	LAPAROSCOPY SURG PARTIAL NEPHRECTOMY	LAPARO PARTIAL NEPHRECTOMY	Partial removal of kidney using an endoscope	Remoción parcial del riñón usando un endoscopio				
1008146	50544	Laparoscopy, surgical; pyeloplasty	LAPAROSCOPY SURG PYELOPLASTY	LAPAROSCOPY PYELOPLASTY	Repair of kidney using an endoscope	Reparación del riñón usando un endoscopio				
1008147	50545	Laparoscopy, surgical; radical nephrectomy (includes removal of Gerota's fascia and surrounding fatty tissue, removal of regional lymph nodes, and adrenalectomy)	LAPAROSCOPY RADICAL NEPHRECTOMY	LAPARO RADICAL NEPHRECTOMY	Removal of kidney and lymph nodes using an endoscope	Remoción de riñón y de los ganglios linfáticos usando un endoscopio				
1008148	50546	Laparoscopy, surgical; nephrectomy, including partial ureterectomy	LAPAROSCOPY NEPHRECTOMY W/PARTIAL URETERECT	LAPAROSCOPIC NEPHRECTOMY	Removal of kidney and partial removal of ureter using an endoscope	Remoción de riñón y remoción parcial de uréter usando un endoscopio				
1008149	50547	Laparoscopy, surgical; donor nephrectomy (including cold preservation), from living donor	LAPAROSCOPY DONOR NEPHRECTOMY LIVING DONOR	LAPARO REMOVAL DONOR KIDNEY	Removal of kidney from living donor using an endoscope	Remoción de riñón de donante vivo usando un endoscopio				
1008150	50548	Laparoscopy, surgical; nephrectomy with total ureterectomy	LAPAROSCOPY NEPHRECTOMY W/TOTAL URETERECTOMY	LAPARO REMOVE W/URETER	Removal of kidney and ureter using an endoscope	Remoción de riñón y uréter usando un endoscopio				
1008151	50549	Unlisted laparoscopy procedure, renal	UNLISTED LAPAROSCOPY PROCEDURE RENAL	UNLISTED LAPS PX RENAL	Other procedure on kidney using an endoscope	Otras intervenciones en el riñón usando un endoscopio				
1008153	50551	Renal endoscopy through established nephrostomy or pyelostomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service;	RENAL ENDOSCOPY NEPHROSTOMY W/WO IRRIGATION	KIDNEY ENDOSCOPY	Exam of kidney using an endoscope inserted through surgically created opening from kidney to skin	Examen del riñón usando un endoscopio insertado a través de una apertura creada quirúrgicamente desde el riñón hasta la piel				
1008154	50553	Renal endoscopy through established nephrostomy or pyelostomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with ureteral catheterization, with or without dilation of ureter	RENAL NDSC NEPHROST W/URETERAL CATH W/WO DILA	KIDNEY ENDOSCOPY	Insertion of tube into ureter using an endoscope inserted through surgically created opening from kidney to skin	Inserción de un tubo en el uréter usando un endoscopio insertado a través de una apertura creada quirúrgicamente desde el riñón hasta la piel				
1008155	50555	Renal endoscopy through established nephrostomy or pyelostomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with biopsy	RENAL NDSC NEPHROS/PYELOSTOMY BIOPSY	KIDNEY ENDOSCOPY & BIOPSY	Biopsy of kidney using an endoscope inserted through surgically created opening from kidney to skin	Biopsia del riñón usando un endoscopio insertado a través de una apertura creada quirúrgicamente desde el riñón hasta la piel				
1008156	50557	Renal endoscopy through established nephrostomy or pyelostomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with fulguration and/or incision, with or without biopsy	RENAL NDSC NEPHROS/PYELOSTOMY FULG&/INC W/WO BI	KIDNEY ENDOSCOPY & TREATMENT	Destruction and/or removal of growth of kidney using an endoscope inserted through surgically created opening from kidney to skin	Destrucción y/o remoción de un crecimiento tumoral en el riñón usando un endoscopio insertado a través de una apertura creada quirúrgicamente desde el riñón hasta la piel				
1008157	50561	Renal endoscopy through established nephrostomy or pyelostomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with removal of foreign body or calculus	RENAL NDSC NEPHROS/PYELOSTOMY RMVL FB/CALCULUS	KIDNEY ENDOSCOPY & TREATMENT	Removal of foreign body or stone in kidney using an endoscope inserted through surgically created opening from kidney to skin	Remoción de un cuerpo extraño o un cálculo en el riñón usando un endoscopio insertado a través de una apertura creada quirúrgicamente desde el riñón hasta la piel				
1008158	50562	Renal endoscopy through established nephrostomy or pyelostomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with resection of tumor	RENAL NDSC NEPHROS/PYELOSTOMY RESCJ TUMOR	RENAL SCOPE W/TUMOR RESECT	Removal of growth of kidney using an endoscope inserted through surgically created opening from kidney to skin	Remoción de un crecimiento tumoral en el riñón usando un endoscopio insertado a través de una apertura creada quirúrgicamente desde el riñón hasta la piel				
1008159	50570	Renal endoscopy through nephrotomy or pyelotomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service;	RENAL NDSC NEPHROTOMY W/WO IRRIGATION	KIDNEY ENDOSCOPY	Exam of kidney using an endoscope	Examen del riñón usando un endoscopio				
1008160	50572	Renal endoscopy through nephrotomy or pyelotomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with ureteral catheterization, with or without dilation of ureter	RNL NDSC NFROT W/URTRL CATHJ W/WO DILAT URETER	KIDNEY ENDOSCOPY	Insertion of tube into ureter using an endoscope through upper kidney area	Inserción de un tubo en un uréter usando un endoscopio a través del área superior de un riñón				
1008161	50574	Renal endoscopy through nephrotomy or pyelotomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with biopsy	RENAL NDSC NEPHROTOMY W/BIOPSY	KIDNEY ENDOSCOPY & BIOPSY	Biopsy of kidney using an endoscope	Biopsia del riñón usando un endoscopio				
1008162	50575	Renal endoscopy through nephrotomy or pyelotomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with endopyelotomy (includes cystoscopy, ureteroscopy, dilation of ureter and ureteral pelvic junction, incision of ureteral pelvic junction and insertion of endopyelotomy stent)	RNL NDSC NFROT/PLOT W/ENDOPYELOTOMY	KIDNEY ENDOSCOPY	Dilation and ureter stent insertion using an endoscope	Dilatación e inserción de una endoprótesis en uréter usando un endoscopio				
1008163	50576	Renal endoscopy through nephrotomy or pyelotomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with fulguration and/or incision, with or without biopsy	RNL NDSC NFROT FULGURATION &/INCISION W/WO BX	KIDNEY ENDOSCOPY & TREATMENT	Destruction and/or removal of growth of kidney using an endoscope	Destrucción y/o remoción de un crecimiento tumoral en un riñón usando un endoscopio				
